SL No,Root Author,Root Author Aff,Root phd year,Scholar Link Link,Advisor,Adv aff,Avd phd year
,,,,,Ian Vaughan Lyndon Clarkson,Australian National University,1997
41,Peter Rüppel,Technische Universität Berlin,1997,https://scholar.google.com/citations?hl=en&user=1EAPrBcAAAAJ,Stefan Jähnichen,Technische Universität Berlin,1979
42,Leslie Rusch,Princeton University,1994,https://scholar.google.com/citations?hl=en&user=HXkLzV4AAAAJ,H. Vincent (Harold) Poor,Princeton University,1977
43,Thomas Rusch,Wirtschaftsuniversität Wien,2012,https://scholar.google.com/citations?hl=en&user=SFtoq_AAAAAJ,Reinhold Hatzinger,Universität Wien,1980
,,,,,Kurt Hornik,Technische Universität Wien,1986
45,Francesco Ruscitti,Purdue University,2007,https://scholar.google.com/citations?hl=en&user=WMn3oasAAAAJ,Charalambos Dionisios Aliprantis,California Institute of Technology,1973
,,,,,Gabriele Camera,The University of Iowa,1997
47,Paat Rusmevichientong,Stanford University,2003,https://scholar.google.com/citations?hl=en&user=CntmDugAAAAJ,Benjamin Van Roy,Massachusetts Institute of Technology,1998
48,Raif Rustamov,Princeton University,2005,https://scholar.google.com/citations?hl=en&user=DsxwhJUAAAAJ,Zoltán Szabó,"Rutgers University, New Brunswick",1994
49,Navin Rustagi,The University of New Mexico,2010,https://scholar.google.com/citations?hl=en&user=KM7ayUEAAAAJ,Jared Culver Saia,University of Washington,2002
50,Aldo Rustichini,University of Minnesota - Twin Cities,1988,https://scholar.google.com/citations?hl=en&user=Ek2R1-gAAAAJ,George Roger Sell,University of Michigan,1962
51,Florin Rusu,University of Florida,2009,https://scholar.google.com/citations?hl=en&user=8PfpzuEAAAAJ,Alin Dobra,Cornell University,2001
52,Wheeler Ruml,Harvard University,2002,https://scholar.google.com/citations?hl=en&user=3idW4TkAAAAJ,Stuart Merrill Shieber,Stanford University,1989
53,Kellin Rumsey,The University of New Mexico,2020,https://scholar.google.com/citations?hl=en&user=P_EJ8a0AAAAJ,Gabriel Huerta,Duke University,1998
54,"William Rundell
",University of Glasgow,1974,https://scholar.google.com/citations?hl=en&user=nHLtkFYAAAAJ,David Lem Colton,The University of Edinburgh,1967
55,Lazarus Rundora,University of Limpopo,2018,https://scholar.google.com/citations?hl=en&user=RaeAO_gAAAAJ,Maleafisha Joseph Pekwa Stephen Tladi,University of Cape Town,2004
56,Ingo Runkel,King's College London,2000,https://scholar.google.com/citations?hl=en&user=wuvvHsgAAAAJ,Gerard Marcel Tannerie Watts,University of Cambridge,1990
57,Adam Runions,University of Calgary,2014,https://scholar.google.com/citations?hl=en&user=LvaJVncAAAAJ,Przemyslaw Prusinkiewicz,Technical University of Warsaw,1978
,,,,,Faramarz Famil Samavati,Sharif University of Technology,1999
59,Jason Rute,Carnegie Mellon University,2013,https://scholar.google.com/citations?hl=en&user=Z-oVfDMAAAAJ,Jeremy David Avigad,"University of California, Berkeley",1995
60,Justin Ruths,Washington University in St. Louis,2011,https://scholar.google.com/citations?hl=en&user=LvaJVncAAAAJ,Jr-Shin Li,Harvard University,2006
61,Matthew J. Rutherford,University of Colorado at Boulder,2006,https://scholar.google.com/citations?hl=en&user=PKcv5BMAAAAJ,Alexander Lee Wolf,University of Massachusetts Amherst,1985
62,Serge Tabachnikov,Lomonosov Moscow State University 1987,1987,https://scholar.google.com/citations?hl=en&user=FOrIQEYAAAAJ,Dmitry Borisovich Fuchs,Lomonosov Moscow State University,1964
,,,,,Anatoly Timofeevich Fomenko,Lomonosov Moscow State University ,1969
64,"
Jakub Szymanik",Universiteit van Amsterdam,2009,https://scholar.google.com/citations?hl=en&user=YgIV5XMAAAAJ,Johan F. A. K. van Benthem,Uniwersytet Warszawski ,1985
,,,,,Marcin Mostowski,Universiteit van Amsterdam,1976
66,David Sraer,Institut de Mathématiques de Toulouse,2007,https://scholar.google.com/citations?hl=en&user=bKbp_9cAAAAJ, Jean Tirole,Université Paris IX - Dauphine ,1978
67,Jean Tirole,Massachusetts Institute of Technology,1981,https://scholar.google.com/citations?hl=en&user=ZEDUm5UAAAAJ,Eric Stark Maskin,Harvard University,1976
68,K. M. Nagaraja,Visvesvaraya Technological University,2011,https://scholar.google.com/citations?hl=en&user=jkIRWvEAAAAJ, V. Lokesha,University of Mysore,2003
69,V. Lokesha,University of Mysore,2003,https://scholar.google.com/citations?hl=en&user=3XYkc6oAAAAJ, Huche Gowda,,
70,Vijay Sridhar,The Ohio State University ,2018,https://scholar.google.com/citations?hl=en&user=GNjwI0AAAAAJ,Anastasios Sidiropoulos,Massachusetts Institute of Technology, 2008
,,,,,Yusu Wang,Duke University,2004
72,Anastasios Sidiropoulos,Massachusetts Institute of Technology,2008,https://scholar.google.com/citations?hl=en&user=YR_MYrAAAAAJ,Piotr Indyk,Stanford University,2001
73,Piotr Indyk,Stanford University,2001,https://scholar.google.com/citations?hl=en&user=oOwNKsAAAAAJ,Rajeev Motwani,"University of California, Berkeley",1988
74,Yusu Wang,Duke University,2004,https://scholar.google.com/citations?hl=en&user=L7jhqMIAAAAJ,Pankaj Kumar Agarwal,New York University,1989
,,,,, Herbert Edelsbrunner,Technische Universität Graz,1982
76,Pankaj Kumar Agarwal,New York University,1989,https://scholar.google.com/citations?hl=en&user=xe0eVksAAAAJ,Micha Sharir,Tel Aviv University,1976
77,Nathan Srebro,Massachusetts Institute of Technology ,2004,https://scholar.google.com/citations?hl=en&user=ZnT-QpMAAAAJ,Tommi Sakari Jaakkola,Massachusetts Institute of Technology ,1997
78,Manu Sridharan,"University of California, Berkeley",2007,https://scholar.google.com/citations?hl=en&user=iNtk_EQAAAAJ,Rastislav Bodik,University of Pittsburgh,1999
,,,,,Mary Louise Ehnot Soffa,University of Pittsburgh,1977
80,Rajiv Gupta,University of Pittsburgh,1987,https://scholar.google.com/citations?hl=en&user=6P4bGWAAAAAJ,Mary Louise Ehnot Soffa,University of Pittsburgh ,1977
81,Mohan Sridharan,University of Texas at Austin,2007,https://scholar.google.com/citations?hl=en&user=pKV2QvsAAAAJ,Peter Herald Stone,Carnegie Mellon University ,1998
82,Kanokwan Sitthithakerngkiet,Naresuan University,2013,https://scholar.google.com/citations?hl=en&user=d_zNKFIAAAAJ,Somyot Plubtieng,Chiang Mai University,2000
83,Ramin Zahedi,Colorado State University,2013,https://scholar.google.com/citations?hl=en&user=CRfIwJAAAAAJ,Edwin Kah Pin Chong,Princeton University,1991
84,Sara Zahedi,Kungliga Tekniska Högskolan,2011,https://scholar.google.com/citations?hl=en&user=XnfTI_AAAAAJ,Gunilla Kreiss,Kungliga Tekniska Högskolan,1996
85,Mohammad Zaheri,Georgetown University ,2020,https://scholar.google.com/citations?hl=en&user=XtMoQx8AAAAJ,Adam O'Neill,georgia Institute of Technology,2010
86,Artem Zvavitch,Weizmann Institute of Science ,2001,https://scholar.google.com/citations?hl=en&user=nUk2TG0AAAAJ,Gideon Schechtman,Hebrew University of Jerusalem,1976
