SL No,Root Author,Root Author Aff,Root phd year,Scholar Link Link,Advisor,Adv aff,Avd phd year
177,Jonathan Mummolo,Stanford University ,2017,https://scholar.google.com/citations?hl=en&user=jKuV9U4AAAAJ,Justin Ryan Grimmer,Harvard University, 2010
178,Saadia Mumtaz,University of the Punjab ,2018,https://scholar.google.com/citations?hl=en&user=HUDSM6UAAAAJ,Muhammad Sharif,Quaid-i-Azam University ,1992
179,Nermina Mujakovic,University of Zagreb ,1998,https://scholar.google.com/citations?hl=en&user=58A53coAAAAJ,Ibrahim Aganović,University of Zagreb, 1965
180,Naida Mujić,University of Sarajevo, 2018,https://scholar.google.com/citations?hl=en&user=aaxFMMoAAAAJ,Mustafa R. S. Kulenović,University of Sarajevo, 1981
181,Vai-Lam Mui,"University of California, Berkeley ",1992,https://scholar.google.com/citations?hl=en&user=cpLomTwAAAAJ,George Arthur Akerlof,Massachusetts Institute of Technology ,1966
182,,,,,Oliver Eaton Williamson,Carnegie Mellon University, 1963
183,Ellen Muir,University of Melbourne ,2017,https://scholar.google.com/citations?hl=en&user=KJa8dgoAAAAJ,Peter Gerrard Taylor,University of Adelaide ,1987
184,Steve Muir,University of Pennsylvania , 2001,https://scholar.google.com/citations?hl=en&user=WviRXegAAAAJ,Jonathan Michael Smith,Columbia University, 1989
185,Stephen Muirhead,University College London ,2016,https://scholar.google.com/citations?hl=en&user=zihqpdEAAAAJ,Nadia Sidorova,Universität Kaiserslautern, 2003
186,"Jerry R. Muir, Jr.",University of Kentucky ,1999,https://scholar.google.com/citations?hl=en&user=DPmtAzoAAAAJ,Ted Joe Suffridge,University of Kansas, 1965
187,Christian Muise,University of Toronto,2014,https://scholar.google.com/citations?hl=en&user=HUzuGj8AAAAJ,Sheila A. McIlraith,University of Toronto ,1997
188,,,,,Christopher Beck,University of Toronto, 1999 
189,Boris Muha,University of Zagreb ,2010,https://scholar.google.com/citations?hl=en&user=wzO9AHkAAAAJ,Zvonimir Tutek,University of Zagreb ,1982
190,Roby Muhamad,Columbia University ,2010 ,https://scholar.google.com/citations?hl=en&user=6Eb1FpsAAAAJ,Duncan James Watts,Cornell University, 1997
191,Abubakr Muhammad,Georgia Institute of Technology, 2005,https://scholar.google.com/citations?hl=en&user=I8BnID0AAAAJ,Magnus B. Egerstedt,Kungliga Tekniska Högskolan ,2000
192,Noryanti Muhammad,University of Durham, 2016,https://scholar.google.com/citations?hl=en&user=hGQDkd4AAAAJ,Franciscus (Frank) Petrus Antonius Coolen,Technische Universiteit Eindhoven, 1994
193,,,,,Tahani A. Coolen-Maturi,University of Durham, 2010
194,Gero Mühl,Technische Universität Darmstadt ,2002,https://scholar.google.com/citations?hl=en&user=sIbWic8AAAAJ,Alejandro P. Buchmann,University of Texas at Austin,1980
195,Johannes Muhle-Karbe,Technische Universität München, 2009,https://scholar.google.com/citations?hl=en&user=eNr-L2YAAAAJ,Jan Kallsen,Albert-Ludwigs-Universität Freiburg im Breisgau ,1998
196,Ignacio Muga,Universidad de Chile, 2005,https://scholar.google.com/citations?hl=en&user=JblohmAAAAAJ,Jean-Claude Nédélec,Université Paris IV-Sorbonne ,1970
197,,,,,Mario Duran,École Polytechnique, 1996
198,Andrew Mugler,Columbia University ,2010,https://scholar.google.com/citations?hl=en&user=9CMEHHAAAAAJ,Chris H. Wiggins,Princeton University, 1998
199,Mounir Kaaniche,Ph.D. Université Paris-Est Marne-la-Vallée and Télécom ParisTech,2010,https://scholar.google.com/citations?hl=en&user=DL6mUl8AAAAJ,Advisor 1: Jean-Christophe Pesquet,Doctorat Université Paris-Sud XI - Orsay ,1990
200,,,,,Advisor 2: Béatrice Pesquet-Popescu,Ph.D. École Normale Supérieure de Cachan,1998
201,Jevgeni Kabanov,Ph.D. Tartu University,2013,https://scholar.google.com/citations?hl=en&user=LF9hg8AAAAAJ,Advisor 1: Varmo Vene,Ph.D. Tartu University,2000
202,Mustapha Kabil,Ph.D. Université Claude Bernard Lyon 1,1992,https://scholar.google.com/citations?hl=en&user=ZOxJm4wAAAAJ,Advisor 1: Maurice Andre Pouzet,Doctorat d'Etat es Sciences Université Hassan II de Casablanca,1996
203,Olena Kachko,Ph.D. Kharkiv National University of Radioelectronics,1977,https://scholar.google.com/citations?hl=en&user=cYx-DCwAAAAJ,Advisor 1: Yuriy Petrovich Shabanov-Kushnarenko,D.Sc. Kharkiv National University of Radioelectronics,1969
204,Ayman Kachmar,Ph.D. Université Paris-Sud XI - Orsay and Lebanese University,2007,https://scholar.google.com/citations?hl=en&user=kaE3MxQAAAAJ,Advisor: Bernard Helffer,Ph.D. Université Paris-Sud XI - Orsay,1976
205,,,,,Advisor 2: Mustapha Jazar,Ph.D. Université de Poitiers,1991
206,Arun Kadavankandy,Ph.D. Université de Nice-Sophia Antipolis,2017,https://scholar.google.com/citations?hl=en&user=fkUJB8UAAAAJ,Advisor 1: Konstantin E. Avrachenkov,Ph.D. University of South Australia,1999
207,,,,,Advisor 2: Laura Cottatellucci,NA ,NA
208,Issam Hussein Kaddoura,Ph.D. University of Baghdad,2000,https://scholar.google.com/citations?hl=en&user=W-BJ37AAAAAJ,Advisor: Ghasan Naoum-Adil,Ph.D. New York University,1969
209,Gopal Krishna Kadekodi,Ph.D. University of Southern California,1973,https://scholar.google.com/citations?hl=en&user=DmzlR1oAAAAJ,Advisor 1: Gerhard Tintner,Dr. iur. Universität Wien,1929
210,,,,,Advisor 2: Richard Ernest Bellman,Ph.D. Princeton University,1947
211,Zoran Kadelburg,Ph.D. University of Belgrade,1980,https://scholar.google.com/citations?hl=en&user=IbUb81MAAAAJ,Advisor: Branislav Mirković,Ph.D. University of Belgrade,1970
212,Claus Kadelka,Ph.D. Virginia Polytechnic Institute and State University ,2015,https://scholar.google.com/citations?hl=en&user=1rZPx7AAAAAJ,Advisor 1: Reinhard Christian Laubenbacher,Ph.D. Northwestern University,1985
213,Marika Kaden,Dr. rer. nat. Ingenieurhochschule Mittweida and Universität Leipzig,2016,https://scholar.google.com/citations?hl=en&user=1YvHz2kAAAAJ,Advisor 1: Thomas Villmann,Dr. rer. nat. Universität Leipzig,1996
214,,,,,Advisor 2: Martin Bogdan,NA ,NA
215,Lars Kaderali,Dr. rer. nat. Universität zu Köln,2006,https://scholar.google.com/citations?hl=en&user=n4q5uIMAAAAJ,Advisor 1: Rainer Schrader,Dr. Rheinische Friedrich-Wilhelms-Universität Bon,1982
216,Vladimir Kadets,Ph.D. Rostov on Don State University and Rostov on Don Institute of Civil Engineering,1985,https://scholar.google.com/citations?hl=en&user=kfV-Ue4AAAAJ,Advisor 1: Naum Samoilovich Landkof,Ph.D. Taras Shevchenko National University of Kyiv,1940
217,,,,,Advisor 2: Mikhail Iosifovich Kadets,Ph.D. Vasyl Karazin Kharkiv National University,1955
218,Carl Myers Kadie,Ph.D. University of Illinois at Urbana-Champaign,1995,https://scholar.google.com/citations?hl=en&user=HgFR4gIAAAAJ,Advisor: David Chester Wilkins,Ph.D. University of Michigan,1987
219,Christian Käding,Ph.D. University of Nottingham ,2019,https://scholar.google.com/citations?hl=en&user=-Q8NvxUAAAAJ,Advisor 1: Clare Burrage,Ph.D. University of Cambridge,2009
220,Samet Kadioglu,Ph.D. Florida State University ,2005,https://scholar.google.com/citations?hl=en&user=hJrzxikAAAAJ,Advisor: Mark Sussman,"Ph.D. University of California, Los Angeles",1994
221,Serdar Kadioglu,Ph.D. Brown University,2012,https://scholar.google.com/citations?hl=en&user=tOgYtHkAAAAJ,Advisor 1: Meinolf Sellmann,Ph.D. Universität Paderborn,2002
222,Shabnam Nargis Kadir,D. Phil. University of Oxford ,2004,https://scholar.google.com/citations?hl=en&user=NEd35e8AAAAJ,Advisor 1: Philip Candelas,D.Phil. University of Oxford,1977
223,Wrya Karim Kadir,Ph.D. Universitetet i Bergen,2022,https://scholar.google.com/citations?hl=en&user=NEd35e8AAAAJ,Advisor 2: Chunlei Li,Ph.D. Universitetet i Bergen ,2014
224,,,,,Advisor 2: Ferdinando Zullo,"Ph.D. Università degli Studi della Campania ""Luigi Vanvitelli""",2018
225,Habiba Kadiri,Ph.D. Université des Sciences et Technologie de Lille-Lille I ,2002,https://scholar.google.com/citations?hl=en&user=cR4jb-wAAAAJ,dvisor: Olivier Ramaré,Ph.D. Université Bordeaux 1 ,1991
226,,,,,Advisor 2: Hervé Queffélec,NA ,NA
227,Selvi Kadirvel,Ph.D. University of Florida,2013,https://scholar.google.com/citations?hl=en&user=wWzeNE8AAAAJ,Advisor 1: José Antonio Baptista Fortes,Ph.D. University of Southern California,1984
228,,,,,Advisor 2: Pramod Prabhakar Khargonekar,Ph.D. University of Florida,1981
229,,,,,Advisor 3: Renato Figueiredo,NA ,NA
230,,,,,Advisor 4: Shigang Chen,NA ,NA
231,Lars David Kadison,"Ph.D. University of California, Berkeley",1989,https://scholar.google.com/citations?hl=en&user=GepsEp8AAAAJ,Advisor: John Bason Wagoner,Ph.D. Princeton University,1966
232,Bharadwaj Kadiyala,Ph.D. University of Texas at Dallas,2017,https://scholar.google.com/citations?hl=en&user=_g2QgMAAAAAJ,Advisor 1: Özalp Özer,Ph.D. Columbia University ,2000
233,Sachin Kadloor,Ph.D. University of Illinois at Urbana-Champaign,2013,https://scholar.google.com/citations?hl=en&user=qADmrBYAAAAJ,Advisor 1: Negar Kiyavash,Ph.D. University of Illinois at Urbana-Champaign,2006
234,Benjamin Kadoch,Dr. Université Aix-Marseille,2009,https://scholar.google.com/citations?hl=en&user=3ZVqHvkAAAAJ,Advisor 1: Kai Schneider,Dr. rer. nat. Universität Kaiserslautern,1996
235,Therrar Kadri,Ph.D. Beirut Arab University,2014,https://scholar.google.com/citations?hl=en&user=xB8TMTcAAAAJ,Supervisor: Seifedine Kadry,Ph.D. Université Blaise Pascal,2007
236,Seifedine Kadry,Ph.D. Université Blaise Pascal ,2007,https://scholar.google.com/citations?hl=en&user=EAVEmg0AAAAJ,Advisor 1: Alaa Chateauneuf,NA ,NA
237,Shirali Kadyrov,Ph.D. The Ohio State University,2010,https://scholar.google.com/citations?hl=en&user=RAa3Sw4AAAAJ,Advisor 1: Nimish Arun Shah,Ph.D. Tata Institute of Fundamental Research,1994
238,,,,,Advisor 2: Manfred L. Einsiedler,Ph.D. Universität Wien,1999
239,Adrian Leslie Kaehler,Ph.D. Columbia University,1999,https://scholar.google.com/citations?hl=en&user=_91xHf8AAAAJ,Advisor 1: Norman Howard Christ,Ph.D. Columbia University,1967
240,Antti Käenmäki,Ph.D. Jyväskylän yliopisto,2003,https://scholar.google.com/citations?hl=en&user=ubIXkowAAAAJ,Advisor: Pertti Mattila,Ph.D. Helsingin yliopisto,1973
241,Michael Kaess,Ph.D. Georgia Institute of Technology ,2008,https://scholar.google.com/citations?hl=en&user=27eupmsAAAAJ,Advisor 1: Frank Dellaert,Ph.D. Carnegie Mellon University,2001
242,Tobias Kärner,Dr. rer. pol. Otto-Friedrich-Universität Bamberg,2014,https://scholar.google.com/citations?hl=en&user=v7iLuW4AAAAJ,Advisor 1: Detlef Sembill,NA ,NA
243,Ozgur Kafali,Ph.D. Boğaziçi University,2012,https://scholar.google.com/citations?hl=en&user=oKXfQusAAAAJ,Advisor 1: Pinar Yolum,Ph.D. North Carolina State University,2003
244,Ahmed Kaffel,Ph.D. Virginia Polytechnic Institute and State University,2011,https://scholar.google.com/citations?hl=en&user=qsyguP4AAAAJ,Advisor 1: Michael Renardy,Dr. rer. nat. Universität Stuttgart,1980
245,Dennis George Kafura,Ph.D. Purdue University,1974,https://scholar.google.com/citations?hl=en&user=rWuQTEcAAAAJ,Advisor: Vincent Yun-Shen Shen,Ph.D. Princeton University ,1969
246,Lalana Kagal,Ph.D. University of Maryland Baltimore County,2004,https://scholar.google.com/citations?hl=en&user=tetdudUAAAAJ,Advisor 1: Timothy Wilking Finin,Ph.D. University of Illinois at Urbana-Champaign,1980
247,Nabil Kahale,Ph.D. Massachusetts Institute of Technology,1993,https://scholar.google.com/citations?hl=en&user=FqcSaNkAAAAJ,Advisor: F. Thomson (Frank) Leighton,Ph.D. Massachusetts Institute of Technology,1981
248,Adar Kahana,Ph.D. Tel Aviv University,2021,https://scholar.google.com/citations?hl=en&user=IXKTDFAAAAAJ,Advisor 1: Eli L. Turkel,Ph.D. New York University ,1970
249,Jürgen Lorenz,Universität Leipzig,2002,https://scholar.google.com/citations?hl=en&user=DBb3zcMAAAAJ,Bernd Fritzsche,Universität Leipzig,
250,Vladimir Hahanov,Kharkiv National University of Radioelectronics,1985,https://scholar.google.com/citations?hl=en&user=lmVrEM4AAAAJ,Gennady Krivoulya,Kharkiv National University of Radioelectronics,1983
251,Vagan Terziyan,Kharkiv National University of Radioelectronics,1985,https://scholar.google.com/citations?hl=en&user=4U8ydfgAAAAJ,Vladimir Lovitskii,Kharkiv National University of Radioelectronics,1970
252,Mohammadreza Galavii,Technische Universität Graz,2008,https://scholar.google.com/citations?hl=en&user=1Mhn2fYAAAAJ,Rainer Ernst Burkard,Universität Wien,1983
253,John Peebles,Massachusetts Institute of Technology,2019,https://scholar.google.com/citations?hl=en&user=V_8FovEAAAAJ,Jonathan A. Kelner,Massachusetts Institute of Technology,1967
254,Angela Peace,Arizona State University,2014,https://scholar.google.com/citations?hl=en&user=S9mVynEAAAAJ,Yang Kuang,University of Alberta,2006
255,Mark van der Laan,Virginia Commonwealth University,1976,https://scholar.google.com/citations?hl=en&user=-zaDQ10AAAAJ,Roger Everette Flora,Virginia Polytechnic Institute and State University,1988
256,Michael Peacey,University of Bristol,2014,https://scholar.google.com/citations?hl=en&user=Zmzd9AwAAAAJ,In-Uck Park,University of Minnesota - Twin Cities,1966
257,Michael J G Peach,University of Bristol,2004,https://scholar.google.com/citations?hl=en&user=7krGtrkAAAAJ,Joseph I-Jell Chuang,The University of Chicago,1993
258,Stephanie J. Peacock,University of Alberta,2015,https://scholar.google.com/citations?hl=en&user=_CqJ1R8AAAAJ,Mark Alun Lewis,University of Oxford,1998
259,Charles A. Pierce,University of Wisconsin-Madison,1937,https://scholar.google.com/citations?hl=en&user=dpKeotMAAAAJ,Selig Perlman,University of Wisconsin-Madison,1990
260,Douglas K Pearce,University of Wisconsin-Madison,1974,https://scholar.google.com/citations?hl=en&user=1WDhs-MAAAAJ,Edgar L. Feige,The University of Chicago,1915
261,Oliver Pfaffel,Technische Universität München,2021,https://scholar.google.com/citations?hl=en&user=A_8Zn3gAAAAJ,Robert Stelzer,Technische Universität München,1963
262,Christian Bär,Rheinische Friedrich-Wilhelms-Universität Bonn,1990,https://scholar.google.com/citations?hl=en&user=uWyDsKMAAAAJ,Hans Werner Ballmann,Rheinische Friedrich-Wilhelms-Universität Bonn,2007
263,Bernd Ammann,Albert-Ludwigs-Universität Freiburg im Breisgau,1998,https://scholar.google.com/citations?hl=en&user=FoHiOGsAAAAJ,Christian Bär,Rheinische Friedrich-Wilhelms-Universität Bonn,1979
264,Dietmar Pfahl,Technische Universität Kaiserslautern,2001,https://scholar.google.com/citations?hl=en&user=xvo0RJcAAAAJ,Dieter Hans Rombach,Technische Universität Kaiserslautern,1990
265,Martin R. Pfaller,Technische Universität München,2019,https://scholar.google.com/citations?hl=en&user=_SNRwoYAAAAJ,Cristóbal Andrés Bertoglio Beltrán,Université Pierre-et-Marie-Curie - Paris VI,1984
266,Jean-Frédéric Gerbeau,École Nationale des Ponts et Chaussées,1998,https://scholar.google.com/citations?hl=en&user=_GYNP-wAAAAJ,Claude Le Bris,École Polytechnique,2012
267,Damiano Lombardi,Université Bordeaux 1,2011,https://scholar.google.com/citations?hl=en&user=FIAygvMAAAAJ,Angelo Iollo,Politecnico di Torino,1993
268,Jean-Michel Ghidaglia,Université Paris-Sud XI - Orsay,1987,https://scholar.google.com/citations?hl=en&user=uWhIm5cAAAAJ,Roger Meyer Temam,Université de Paris,1995
269,Raphaèle Herbin,Université Claude Bernard Lyon 1,1986,https://scholar.google.com/citations?hl=en&user=_JT4GjcAAAAJ,Francis Conrad,Université Claude Bernard Lyon 1,1967
270,Manuel Kauers,Johannes Kepler Universität Linz,2005,https://scholar.google.com/citations?hl=en&user=Dmpftj4AAAAJ,Peter Paule,Universität Wien,1983
271,Matthew Hirn,University of Maryland College Park,2009,https://scholar.google.com/citations?hl=en&user=mByPd_QAAAAJ,John Joseph Benedetto,University of Toronto,1982
272,John H Lienhard,"University of California, San Diego",1988,https://scholar.google.com/citations?hl=en&user=ekOjIjIAAAAJ,Charles William Van Atta,California Institute of Technology,1964
273,Christian Klingenberg,New York University,1983,https://scholar.google.com/citations?hl=en&user=S6MCm88AAAAJ,Cathleen Synge Morawetz,New York University,1965
274,William Rundell,University of Glasgow,1974,https://scholar.google.com/citations?hl=en&user=nHLtkFYAAAAJ,David Lem Colton,The University of Edinburgh,1951
275,Srinjoy Das,"University of California, San Diego",2018,https://scholar.google.com/citations?hl=en&user=Sol2ivcAAAAJ,Kenneth Keith Kreutz-Delgado,"University of California, San Diego",1967
276,Cécile Levasseur,"University of California, San Diego",2009,https://scholar.google.com/citations?hl=en&user=86__CUEAAAAJ,Uwe F. Mayer,University of Utah,1985
277,Jan F. Prins,Cornell University,1987,https://scholar.google.com/citations?hl=en&user=VFMbBPgAAAAJ,David Gries,Technische Universität München,1995
278,Ibrahim Qasemzadeh Kolagar,Shahed University,2018,https://scholar.google.com/citations?hl=en&user=ktrhMAYAAAAJ,Hamid Haj Seyyed Javadi,Amirkabir University of Technology (Tehran Polytechnic University),1966
279,Vahed Qazvinian,University of Michigan,2012,https://scholar.google.com/citations?hl=en&user=BG7rW8oAAAAJ,Dragomir Radkov Radev,Columbia University,2003
280,Fares Qeadan,he University of New Mexico,2014,https://scholar.google.com/citations?hl=en&user=CE6sBxkAAAAJ,Ronald Richard Christensen,University of Minnesota - Twin Cities,1999
281,Meng Qian,,2015,https://scholar.google.com/citations?hl=en&user=EqLVU-kAAAAJ,Yongzhao Shao,Tufts University,1983
282,Mingjie Qian,University of Illinois at Urbana-Champaign,2015,https://scholar.google.com/citations?hl=en&user=JYCcfsgAAAAJ,ChengXiang Zhai,Carnegie Mellon University,1994
283,Disheng Qiu,Università degli Studi di Roma Tre,2015,https://scholar.google.com/citations?hl=en&user=dxqszzYAAAAJ,Paolo Merialdo,Università di Roma La Sapienza,2002
284,Dun Qiu,"University of California, San Diego",2019,https://scholar.google.com/citations?hl=en&user=u5ZGKvEAAAAJ,Jeffrey Brian Remmel,Cornell University,1998
285,Kun Qiu,Iowa State University,2011,https://scholar.google.com/citations?hl=en&user=z3DawokAAAAJ,Aleksandar Dogandzic,University of Illinois at Chicago,1974
286,Weiyuan Qiu,Fudan University,1990,https://scholar.google.com/citations?hl=en&user=Ea4LufgAAAAJ,Fuyao Ren,Fudan University,2001
287,Xing Qiu,University of Rochester,2004,https://scholar.google.com/citations?hl=en&user=FSkmWXYAAAAJ,Michael Cranston,University of Minnesota - Twin Cities,
288,Zhan Qiu,Imperial College London,2017,https://scholar.google.com/citations?hl=en&user=zZgfXuAAAAAJ,Peter George Harrison,Imperial College London,1980
289,Rick Quax,Universiteit van Amsterdam,2013,https://scholar.google.com/citations?hl=en&user=2dScK0AAAAAJ,"Peter M. A,. Sloot",Universiteit van Amsterdam,1979
290,João Filipe Queiró,Universidade de Coimbra,1988,https://scholar.google.com/citations?hl=en&user=XGKh2wwAAAAJ,Eduardo Manuel Freire Marques de Sá,Universidade de Coimbra,1988
291,Marco Querini,Università degli Studi di Roma Tor Vergata,2014,https://scholar.google.com/citations?hl=en&user=8LHqqu0AAAAJ,Giuseppe F. Italiano,Columbia University,1980
292,Elisa Quintarelli,Politecnico di Milano,2002,https://scholar.google.com/citations?hl=en&user=QpbUFRsAAAAJ,Agostino Dovier,Università di Pisa,1991
293,Matias Quiroz,Stockholm University,2015,https://scholar.google.com/citations?hl=en&user=0LMxciwAAAAJ,Mattias Villani,Stockholm University,1996
294,Bentley James Oakes,McGill University,2018,https://scholar.google.com/citations?user=x9H9H4QAAAAJ&hl=en&oi=ao,Clark Verbrugge,McGill University,2000
295,Bryan A. Oakley,University of Wisconsin-Madison,2022,https://scholar.google.com/citations?user=gmpSpjYAAAAJ&hl=en&oi=ao,Jean-Luc Thiffeault,University of Texas at Austin,1996
296,Constantin Daniel OANCEA,York University,2010,https://scholar.google.com/citations?hl=en&user=4h8-KeYAAAAJ,Robert Geoffrey Burns,Australian National University,1998
297,Hussein OBEID,University of Caen Normand,2021,https://scholar.google.com/citations?hl=en&user=xI9otO0AAAAJ,Alan David Rendall,University of Aberdeen,1966
298,Nadim Obeid,The University of Jordan,1987,https://scholar.google.com/citations?hl=en&user=5mFzWvEAAAAJ,Raymond Turner,University of London,1987
299,Hamid Naji Obied,university of babylon,2002,https://scholar.google.com/citations?hl=en&user=vXVENh8AAAAJ,Luis Fariñas del Cerro,Université Paris Diderot - Paris,1981
300,Ossama Obeid,New York University Abu Dhabi,1993,https://scholar.google.com/citations?hl=en&user=Tmw_ZowAAAAJ,Russell Gene Bilyeu,University of Kansas,1981
301,Günther Deuschl,Christian-Albrechts University Kiel,2006,https://scholar.google.com/citations?hl=en&user=SNnXK9kAAAAJ,Olaf Steinbach,Universität Stuttgart,1961
302,Prof. Dr. Ersin Ozugurlu,University of Wisconsin-Madison,1999,https://scholar.google.com/citations?hl=en&user=AIWGEiQAAAAJ,Jean-Marc Vanden-Broeck,University of Adelaide,1996
303,ÖZGE ÖZTİMUR KARADAĞ,Alanya Alaaddin Keykubat University,2014,https://scholar.google.com/citations?hl=en&user=Qk3M8noAAAAJ,Fatos Tunay Yarman-Vural,Princeton University,1978
304,Can Ozturan,Bogazici University,1995,https://scholar.google.com/citations?hl=en&user=--uJKY0AAAAJ,Joseph E. Flaherty,Polytechnic University,1981
305,A. Alper Öztürk,Anadolu Üniversites,2005,https://scholar.google.com/citations?hl=en&user=G1Fl8poAAAAJ,Baki Mehmet Cetegen,California Institute of Technology,1969
306,Berk Ozturk,Massachusetts Institute of Technology,2022,https://scholar.google.com/citations?hl=en&user=XypmqLIAAAAJ,Dimitris John Bertsimas,Massachusetts Institute of Technology,1982
307,MAHPEYKER OZTURK,Sakarya Üniversitesi,2011,https://scholar.google.com/citations?hl=en&user=Mf_4AD0AAAAJ,Metin Basarir,Ankara University,1988
308,Ozkan Ozturk,Giresun University,2016,https://scholar.google.com/citations?hl=en&user=asEuCs8AAAAJ,Elvan Akin,University of Nebraska-Lincoln,1988
309,Fırat Özsaraç,Ege Üniversitesi,2021,https://scholar.google.com/citations?hl=en&user=j1afYhQAAAAJ,Ibrahim Canak,Missouri University of Science and Technology,2000
310,Türker Özsarı,Bilkent University,2010,https://scholar.google.com/citations?view_op=view_org&hl=en&org=13026521743771720503,Irena Lasiecka,Uniwersytet Warszawski,1998
311,Michael Oppermann,University of British Columbia,2021,https://scholar.google.com/citations?hl=en&user=Nf8TQBQAAAAJ,Tamara Macushla Munzner,Stanford University,1975
312,Naomi Oppenheimer,Tel Aviv University,2012,https://scholar.google.com/citations?hl=en&user=7Z_jiKkAAAAJ,Haim Diamant,Tel Aviv University,2000
313,Izhar Oppenheim,Technion-Israel Institute of Technology,2012,https://scholar.google.com/citations?hl=en&user=hxl_xNUAAAAJ,Uri Bader,Technion-Israel Institute of Technology,1999
314,Michael Opitz,Graz University of Technology,1980,https://scholar.google.com/citations?view_op=view_org&hl=en&org=12942751292726083815,Franz Kappel,Universität Graz,2005
315,Dr. Alex Akwasi Opoku,University of Energy and Natural Resources,2009,https://scholar.google.com/citations?hl=en&user=AnidAlsAAAAJ,Christof Külske,Ruhr-Universität Bochum,1963
316,Jakub Opršal,"Institute of Science and Technology, Austria",2016,https://scholar.google.com/citations?hl=en&user=FSut4R4AAAAJ,Libor Barto,Charles University,1993
317,Kristopher Opron,University of Michigan,2016,https://scholar.google.com/citations?hl=en&user=1RMHogwAAAAJ,Guowei W. Wei,University of British Columbia,2006
318,Bristena Oprisanu,University College London,2021,https://scholar.google.com/citations?hl=en&user=E_zOwesAAAAJ,Emiliano De Cristofaro,"University of California, Irvine",1996
319,Vasile I. Oproiu,Alexandru Ioan Cuza University of Iasi,1969,https://scholar.google.com/citations?hl=en&user=sDZ4th4AAAAJ,Gheorghe Ivanov Gheorghiev,Alexandru Ioan Cuza University of Iasi,2011
320,Ana-Maria Oprescu,Vrije Universiteit Amsterdam,2013,https://scholar.google.com/citations?hl=en&user=cWSfzoUAAAAJ,Henri Elle Bal,Vrije Universiteit Amsterdam,1946
321,Oprea Dragoş Ştefan,Bucharest University of Economic Studies,2005,https://scholar.google.com/citations?hl=en&user=Uyo-5QwAAAAJ,https://scholar.google.com/citations?hl=en&user=kobaw80AAAAJ,Harvard University,1989
322,Jean D. Opsomer,Cornell University,1995,https://scholar.google.com/citations?hl=en&user=kobaw80AAAAJ,David Ruppert,Michigan State University,1988
323,Jaroslav Opatrny,University of Waterloo,1975,https://scholar.google.com/citations?hl=en&user=8X0X2U4AAAAJ,"Karel Culik, II",Czechoslovak Academy of Science,1977
324,Winson Taam,University of Wisconsin-Madison,1988,https://scholar.google.com/citations?hl=en&user=zgljONQAAAAJ,Brian Stuart Yandell,"University of California, Berkeley",1966
325,Abderrahim Taamouti,Université de Montréal,2007,https://scholar.google.com/citations?hl=en&user=OFBXFLIAAAAJ,Jean-Marie Dufour,he University of Chicago,1981
326,Siamak Taati,Turun yliopisto,2009,https://scholar.google.com/citations?hl=en&user=f8OT-nAAAAAJ,Jarkko Kari,Turun yliopisto,1979
327,Serge Tabachnikov,Lomonosov Moscow State University,1987,https://scholar.google.com/citations?hl=en&user=FOrIQEYAAAAJ,Dmitry Borisovich Fuchs,Lomonosov Moscow State University,1990
328,N. Taback,University of Toronto,1998,https://scholar.google.com/citations?hl=en&user=Ji_Iyg0AAAAJ,Donald A. S. Fraser,Princeton University 1,1964
329,Eduardo Tabacman,University of Minnesota - Twin Cities,1994,https://scholar.google.com/citations?hl=en&user=Ji_Iyg0AAAAJ,Richard P. McGehee,University of Wisconsin-Madiso,1949
330,Mahmood Tabaddor,Virginia Polytechnic Institute and State University,1996,https://scholar.google.com/citations?hl=en&user=3BZgvIYAAAAJ,Ali Hasan Nayfeh,Stanford University,1969
331,John Tabak,Rensselaer Polytechnic Institute,1993,https://scholar.google.com/citations?hl=en&user=q2IK94QAAAAJ,Donald Allen Drew,ensselaer Polytechnic Institute,1964
332,Frank Tabakin,Massachusetts Institute of Technology,1963,https://scholar.google.com/citations?hl=en&user=S-LET58AAAAJ,Felix Villars,ETH Zürich,1990
333,Deian Tabakov,Rice University,2010,https://scholar.google.com/citations?hl=en&user=kRdzQucAAAAJ,Moshe Y. Vardi,Hebrew University of Jerusalem,1946
334,Nicolas Tabareau,Université Paris Diderot - Paris,2008,https://scholar.google.com/citations?hl=en&view_op=search_authors&mauthors=Nicolas+Tabareau&btnG=,Paul-André Melliès,Université Paris Diderot - Paris 7,1981
335,E. V. Tabarintseva,Dissertation:,1993,https://scholar.google.com/citations?hl=en&user=OYFZvZsAAAAJ,Vitaliĭ Pavlovich Tanana,Dissertation:,1996
336,Alireza Tabarraei,"University of California, Davis",2008,https://scholar.google.com/citations?hl=en&user=-OwBidMAAAAJ,Natarajan Sukumar,Northwestern University,1971
337,Afshan Tabassum,"bdus Salam School of Mathematical Sciences GC University, Lahore",2014,https://scholar.google.com/citations?hl=en&user=T554Dq0AAAAJ,Constantin Buse,West University of Timisoara,1998
338,Mohammad Tabatabaei,Jyväskylän yliopisto,2016,https://scholar.google.com/citations?hl=en&user=3D9xad0AAAAJ,Kaisa Miettinen,Jyväskylän yliopisto,1996
339,Seyed Amin Tabatabaei,Vrije Universiteit Amsterdam,2018,https://scholar.google.com/citations?hl=en&user=7OaFOIQAAAAJ,Jan Treur,Universiteit Utrecht,1994
