,Root Author,Co Author,Scholar Link
56,,Michael A. Sutton,https://scholar.google.com/citations?user=217eLSEAAAAJ&hl=en&oe=ASCII
57,,Mehdi shishehbor,https://scholar.google.com/citations?user=vg4XdW8AAAAJ&hl=en&oe=ASCII
58,,Maryam S Hosseini,https://scholar.google.com/citations?user=ZR5zym8AAAAJ&hl=en&oe=ASCII
59,Jakub Zavodny,Dan Olteanu,https://scholar.google.com/citations?user=4eeIj2gAAAAJ&hl=en&oe=ASCII
60,Vidhi Zala,Robert M. Kirby OR R.M. Kirby,https://scholar.google.com/citations?user=IATz8BMAAAAJ&hl=en&oe=ASCII
61,,Shankar Prasad Sastry,https://scholar.google.com/citations?user=Ug8mveQAAAAJ&hl=en&oe=ASCII
62,,Majid Rasouli,https://scholar.google.com/citations?user=6UmgUykAAAAJ&hl=en&oe=ASCII
63,,Hari Sundar,https://scholar.google.com/citations?user=equOxc0AAAAJ&hl=en&oe=ASCII
64,,Varun Shankar,https://scholar.google.com/citations?user=goYJXTsAAAAJ&hl=en&oe=ASCII
65,Michael P. Zaletel,Roger Mong,https://scholar.google.com/citations?user=caRW7WQAAAAJ&hl=en&oe=ASCII
66,,Ashvin Vishwanath,https://scholar.google.com/citations?user=Js1q86YAAAAJ&hl=en&oe=ASCII
67,,Frank Pollmann,https://scholar.google.com/citations?user=hlf61gwAAAAJ&hl=en&oe=ASCII
68,,Nick Bultinck,https://scholar.google.com/citations?user=2RefFJoAAAAJ&hl=en&oe=ASCII
69,,Andrea Young,https://scholar.google.com/citations?user=EbqS1EoAAAAJ&hl=en&oe=ASCII
70,,Shubhayu Chatterjee,https://scholar.google.com/citations?user=wovjAPsAAAAJ&hl=en&oe=ASCII
71,,Joel E. MOORE,https://scholar.google.com/citations?user=zdeb4PUAAAAJ&hl=en&oe=ASCII
72,,Alexander A. Zibrov,https://scholar.google.com/citations?user=Rx2aHuMAAAAJ&hl=en&oe=ASCII
73,,Tomohiro Soejima,https://scholar.google.com/citations?user=jC7UrocAAAAJ&hl=en&oe=ASCII
74,,Zlatko Papic,https://scholar.google.com/citations?user=64bYQhwAAAAJ&hl=en&oe=ASCII
75,,Norman Yao,https://scholar.google.com/citations?user=jjDlXWMAAAAJ&hl=en&oe=ASCII
76,,Haruki Watanabe,https://scholar.google.com/citations?user=uNRjLAkAAAAJ&hl=en&oe=ASCII
77,,Hoi Chun Po,https://scholar.google.com/citations?user=IYTnsLwAAAAJ&hl=en&oe=ASCII
78,,Chetan Nayak,https://scholar.google.com/citations?user=WRL78vEAAAAJ&hl=en&oe=ASCII
79,,Eric M Spanton,https://scholar.google.com/citations?user=OWJelAgAAAAJ&hl=en&oe=ASCII
80,,Eslam Khalaf,https://scholar.google.com/citations?user=rf3xG1kAAAAJ&hl=en&oe=ASCII
81,,Jens H Bardarson,https://scholar.google.com/citations?user=MlXIBmMAAAAJ&hl=en&oe=ASCII
82,,Daniel Parker,https://scholar.google.com/citations?user=5hjjTrUAAAAJ&hl=en&oe=ASCII
83,,Scott Geraedts,https://scholar.google.com/citations?user=Gqp_630AAAAJ&hl=en&oe=ASCII
84,,Chao-Ming Jian,https://scholar.google.com/citations?user=dkhErqMAAAAJ&hl=en&oe=ASCII
85,Constantin Zalinescu,Akhtar A Khan,https://scholar.google.com/citations?user=OEJJ2ScAAAAJ&hl=en&oe=ASCII
86,,Stephen Simons,https://scholar.google.com/citations?user=ML6eUrUAAAAJ&hl=en&oe=ASCII
87,,Abderrahim Hantoute,https://scholar.google.com/citations?user=3EKt4HYAAAAJ&hl=en&oe=ASCII
88,,Marco López,https://scholar.google.com/citations?user=gHhrx5cAAAAJ&hl=en&oe=ASCII
89,,A. Iusem,https://scholar.google.com/citations?user=vZhnWIUAAAAJ&hl=en&oe=ASCII
90,,Abderrahim Jourani,https://scholar.google.com/citations?user=0BzGP9yfQusC&hl=en&oe=ASCII
91,,Dan Tiba,https://scholar.google.com/citations?user=0w_iAwIAAAAJ&hl=en&oe=ASCII
92,,Nguyen Mau Nam,https://scholar.google.com/citations?user=o52d_Q0AAAAJ&hl=en&oe=ASCII
93,,Andreas Löhne,https://scholar.google.com/citations?user=fwKAnF0AAAAJ&hl=en&oe=ASCII
94,,Radu Strugariu,https://scholar.google.com/citations?user=gF2gCEwAAAAJ&hl=en&oe=ASCII
95,,Michel THERA,https://scholar.google.com/citations?user=BNySwCIAAAAJ&hl=en&oe=ASCII
96,,Claude VALLEE,https://scholar.google.com/citations?user=zGLmKUMAAAAJ&hl=en&oe=ASCII
97,,Andreas Hamel,https://scholar.google.com/citations?user=feCxOqoAAAAJ&hl=en&oe=ASCII
98,,Vicente Novo,https://scholar.google.com/citations?user=PqLpVVYAAAAJ&hl=en&oe=ASCII
99,,Biagio Ricceri,https://scholar.google.com/citations?user=r8McXt0AAAAJ&hl=en&oe=ASCII
100,Pavol Zajac,Otokar Grosek,https://scholar.google.com/citations?user=BDVVlBoAAAAJ&hl=en&oe=ASCII
101,,Eugen Antal,https://scholar.google.com/citations?user=H-p3PsEAAAAJ&hl=en&oe=ASCII
102,,Viliam Hromada,https://scholar.google.com/citations?user=NR80VooAAAAJ&hl=en&oe=ASCII
103,,Tomas Fabsic,https://scholar.google.com/citations?user=brfrXIUAAAAJ&hl=en&oe=ASCII
104,,Qian Guo,https://scholar.google.com/citations?user=IqraHgEAAAAJ&hl=en&oe=ASCII
105,,Thomas Johansson,https://scholar.google.com/citations?user=1kxNWbkAAAAJ&hl=en&oe=ASCII
106,,Paul Stankovski Wagner,https://scholar.google.com/citations?user=AofvgNQAAAAJ&hl=en&oe=ASCII
107,,Milos Drutarovsky,https://scholar.google.com/citations?user=U6iN1GMAAAAJ&hl=en&oe=ASCII
108,,Christian Colombo,https://scholar.google.com/citations?user=eFR8lkgAAAAJ&hl=en&oe=ASCII
109,,Maribel Gonzalez Vasco,https://scholar.google.com/citations?user=Es4ADncAAAAJ&hl=en&oe=ASCII
110,,Stefan Balogh,https://scholar.google.com/citations?user=dTBWNTgAAAAJ&hl=en&oe=ASCII
111,,Roderik Ploszek,https://scholar.google.com/citations?user=DpAF5GYAAAAJ&hl=en&oe=ASCII
112,,Ondrej Gallo,https://scholar.google.com/citations?user=a3MuG9gAAAAJ&hl=en&oe=ASCII
113,,Håvard Raddum,https://scholar.google.com/citations?user=WousYKQAAAAJ&hl=en&oe=ASCII
114,,Rainer Steinwandt,https://scholar.google.com/citations?user=RN-eL4MAAAAJ&hl=en&oe=ASCII
115,,Peter Horak,https://scholar.google.com/citations?user=mgNUqM0AAAAJ&hl=en&oe=ASCII
116,,Zdenek Riha,https://scholar.google.com/citations?user=4KLgZ7wAAAAJ&hl=en&oe=ASCII
117,,Vashek Matyas,https://scholar.google.com/citations?user=x6uv-rkAAAAJ&hl=en&oe=ASCII
118,,Mark Vella,https://scholar.google.com/citations?user=KjZUnkMAAAAJ&hl=en&oe=ASCII
119,Ilias Zadik,David Gamarnik,https://scholar.google.com/citations?user=qMDr8HUAAAAJ&hl=en&oe=ASCII
120,,Galen Reeves,https://scholar.google.com/citations?user=kxyFeAIAAAAJ&hl=en&oe=ASCII
121,,Miles Lubin,https://scholar.google.com/citations?user=jCoWyqUAAAAJ&hl=en&oe=ASCII
122,,Juan Pablo Vielma,https://scholar.google.com/citations?user=4y7ebPMAAAAJ&hl=en&oe=ASCII
123,,Alexander S. Wein,https://scholar.google.com/citations?user=RmhQmkwAAAAJ&hl=en&oe=ASCII
124,,Jiaming Xu,https://scholar.google.com/citations?user=46MDvXcAAAAJ&hl=en&oe=ASCII
125,,Jennifer Chayes,https://scholar.google.com/citations?user=YAHWbtkAAAAJ&hl=en&oe=ASCII
126,,Adam Smith,https://scholar.google.com/citations?user=fkGi-JMAAAAJ&hl=en&oe=ASCII
127,,Christian Borgs,https://scholar.google.com/citations?user=B847xq8AAAAJ&hl=en&oe=ASCII
128,,Vasilis Syrgkanis,https://scholar.google.com/citations?user=G1WMpcUAAAAJ&hl=en&oe=ASCII
129,,Lester Mackey,https://scholar.google.com/citations?user=erv7TP0AAAAJ&hl=en&oe=ASCII
130,,Jonathan Niles-Weed,https://scholar.google.com/citations?user=5Vls5NAAAAAJ&hl=en&oe=ASCII
131,,Gerard BEN AROUS,https://scholar.google.com/citations?user=8sGC5D4AAAAJ&hl=en&oe=ASCII
132,,Christos Tzamos,https://scholar.google.com/citations?user=wB01auEAAAAJ&hl=en&oe=ASCII
133,,Elchanan Mossel,https://scholar.google.com/citations?user=5t2myD8AAAAJ&hl=en&oe=ASCII
134,,Afonso S. Bandeira,https://scholar.google.com/citations?user=g3UpmeoAAAAJ&hl=en&oe=ASCII
135,,Samuel B. Hopkins,https://scholar.google.com/citations?user=E_a3VB4AAAAJ&hl=en&oe=ASCII
136,,Amin Coja-Oghlan,https://scholar.google.com/citations?user=1SdgKVAAAAAJ&hl=en&oe=ASCII
137,,Ahmed El Alaoui,https://scholar.google.com/citations?user=fMBfYDQAAAAJ&hl=en&oe=ASCII
