,Root Author,Co Author,Scholar Link
491,Aldo Rustichini,Uri Gneezy,https://scholar.google.com/citations?user=Z7LNmGYAAAAJ&hl=en&oe=ASCII
492,,Stephen V. Burks,https://scholar.google.com/citations?user=hUXUsXMAAAAJ&hl=en&oe=ASCII
493,,Fabio Angelo Maccheroni,https://scholar.google.com/citations?user=zVAYbpYAAAAJ&hl=en&oe=ASCII
494,,Jess Benhabib,https://scholar.google.com/citations?user=J5HfMc0AAAAJ&hl=en&oe=ASCII
495,,Lorenz Goette,https://scholar.google.com/citations?user=e5YW1MsAAAAJ&hl=en&oe=ASCII
496,,andrea ichino,https://scholar.google.com/citations?user=u3ncnToAAAAJ&hl=en&oe=ASCII
497,,Gary Charness,https://scholar.google.com/citations?user=C2P59v8AAAAJ&hl=en&oe=ASCII
498,,Barton L. Lipman,https://scholar.google.com/citations?user=dvxSwGsAAAAJ&hl=en&oe=ASCII
499,,Salvatore Modica,https://scholar.google.com/citations?user=R47ysEYAAAAJ&hl=en&oe=ASCII
500,,Michele Boldrin,https://scholar.google.com/citations?user=AppiSyIAAAAJ&hl=en&oe=ASCII
501,,Giorgio Coricelli,https://scholar.google.com/citations?user=nEVZSJUAAAAJ&hl=en&oe=ASCII
502,,Paul Glimcher,https://scholar.google.com/citations?user=9TR_db8AAAAJ&hl=en&oe=ASCII
503,,Muriel Niederle,https://scholar.google.com/citations?user=NmZWitkAAAAJ&hl=en&oe=ASCII
504,Florin Rusu,Yu Cheng,https://scholar.google.com/citations?user=OEPeZz0AAAAJ&hl=en&oe=ASCII
505,,Chengjie Qin,https://scholar.google.com/citations?user=GgTankcAAAAJ&hl=en&oe=ASCII
506,,Weijie Zhao,https://scholar.google.com/citations?user=c-gzOhwAAAAJ&hl=en&oe=ASCII
507,,Alin Dobra,https://scholar.google.com/citations?user=smEOOBsAAAAJ&hl=en&oe=ASCII
508,,Kesheng Wu,https://scholar.google.com/citations?user=ju1z14aMmRkC&hl=en&oe=ASCII
509,,Richard Abbott,https://scholar.google.com/citations?user=yKoudbgAAAAJ&hl=en&oe=ASCII
510,,Bin Dong,https://scholar.google.com/citations?user=W-hjzD0AAAAJ&hl=en&oe=ASCII
511,,Peter Nugent,https://scholar.google.com/citations?user=xJf5H2AAAAAJ&hl=en&oe=ASCII
512,,Chris Jermaine,https://scholar.google.com/citations?user=D2P2B0MAAAAJ&hl=en&oe=ASCII
513,,Anna Y. Q. Ho,https://scholar.google.com/citations?user=L2o0H4MAAAAJ&hl=en&oe=ASCII
514,,Suren Byna,https://scholar.google.com/citations?user=EnK8668AAAAJ&hl=en&oe=ASCII
515,,Mingxi Wu,https://scholar.google.com/citations?user=1OO495sAAAAJ&hl=en&oe=ASCII
516,,Octavian Cret,https://scholar.google.com/citations?user=FZwo-0EAAAAJ&hl=en&oe=ASCII
517,,Cristian Vancea,https://scholar.google.com/citations?user=Pq0xgNMAAAAJ&hl=en&oe=ASCII
518,,Michael Modest,https://scholar.google.com/citations?user=doZM2U8AAAAJ&hl=en&oe=ASCII
519,,Tao Ren,https://scholar.google.com/citations?user=7qY9e8wAAAAJ&hl=en&oe=ASCII
520,,Cagatay Turkay,https://scholar.google.com/citations?user=ho0I_1kAAAAJ&hl=en&oe=ASCII
521,,Carsten Binnig,https://scholar.google.com/citations?user=Iqsl_XMAAAAJ&hl=en&oe=ASCII
522,,Nicola Pezzotti,https://scholar.google.com/citations?user=61To93wAAAAJ&hl=en&oe=ASCII
523,Wheeler Ruml,Minh Do,https://scholar.google.com/citations?user=1A0lsR4AAAAJ&hl=en&oe=ASCII
524,,Ethan Burns,https://scholar.google.com/citations?user=5V7JJ0wAAAAJ&hl=en&oe=ASCII
525,,Jordan Tyler Thayer,https://scholar.google.com/citations?user=WWtJrGYAAAAJ&hl=en&oe=ASCII
526,,Stuart Shieber,https://scholar.google.com/citations?user=oq8WAwsAAAAJ&hl=en&oe=ASCII
527,,Yi Shang,https://scholar.google.com/citations?user=o-xM3oMAAAAJ&hl=en&oe=ASCII
528,,Joe Marks,https://scholar.google.com/citations?user=REL2gIEAAAAJ&hl=en&oe=ASCII
529,,Scott Kiesel,https://scholar.google.com/citations?user=hRyYQAIAAAAJ&hl=en&oe=ASCII
530,,Bence Cserna,https://scholar.google.com/citations?user=IjXfF6gAAAAJ&hl=en&oe=ASCII
531,,Matthew Hatem,https://scholar.google.com/citations?user=sfQQuAMAAAAJ&hl=en&oe=ASCII
532,,J. Benton,https://scholar.google.com/citations?user=YLfF0bUAAAAJ&hl=en&oe=ASCII
533,,Erez Karpas,https://scholar.google.com/citations?user=Dya6lhgAAAAJ&hl=en&oe=ASCII
534,,Ying Zhang,https://scholar.google.com/citations?user=VfJPjQ4AAAAJ&hl=en&oe=ASCII
535,,Alfonso Caramazza,https://scholar.google.com/citations?user=hvvrK8cAAAAJ&hl=en&oe=ASCII
536,,Ariel Felner,https://scholar.google.com/citations?user=t4rXchwAAAAJ&hl=en&oe=ASCII
537,,Haitham Hindi,https://scholar.google.com/citations?user=aRHZpiAAAAAJ&hl=en&oe=ASCII
538,,Tianyi Gu,https://scholar.google.com/citations?user=cu7qkrgAAAAJ&hl=en&oe=ASCII
539,,Roni Stern,https://scholar.google.com/citations?user=X6t18NkAAAAJ&hl=en&oe=ASCII
540,,Lara Crawford,https://scholar.google.com/citations?user=1FEBcdIAAAAJ&hl=en&oe=ASCII
541,,Robert Holte,https://scholar.google.com/citations?user=3_002c0AAAAJ&hl=en&oe=ASCII
542,,Craig Eldershaw,https://scholar.google.com/citations?user=2sL_i58AAAAJ&hl=en&oe=ASCII
543,Kellin Rumsey,Gabriel Huerta,https://scholar.google.com/citations?user=HNrMImoAAAAJ&hl=en&oe=ASCII
544,,Michael Grosskopf,https://scholar.google.com/citations?user=vjeL3Q4AAAAJ&hl=en&oe=ASCII
545,,Earl Lawrence,https://scholar.google.com/citations?user=Mz7zQ0UAAAAJ&hl=en&oe=ASCII
546,Lazarus Rundora,Prof. O. D. Makinde,https://scholar.google.com/citations?user=00NF_EwAAAAJ&hl=en&oe=ASCII
547,,Samuel O. Adesanya,https://scholar.google.com/citations?user=75V3djwAAAAJ&hl=en&oe=ASCII
548,,tiri chinyoka,https://scholar.google.com/citations?user=Cy6YcicAAAAJ&hl=en&oe=ASCII
549,,Ramoshweu S Lebelo,https://scholar.google.com/citations?user=6UL0cOAAAAAJ&hl=en&oe=ASCII
550,Ingo Runkel,Christoph Schweigert,https://scholar.google.com/citations?user=dPt4iDgAAAAJ&hl=en&oe=ASCII
551,,Jurgen Fuchs,https://scholar.google.com/citations?user=o2n0UsUAAAAJ&hl=en&oe=ASCII
552,,Azat M. Gainutdinov,https://scholar.google.com/citations?user=fmz54HsAAAAJ&hl=en&oe=ASCII
553,,Jürg Fröhlich,https://scholar.google.com/citations?user=y_wpkH8AAAAJ&hl=en&oe=ASCII
554,,Matthias Gaberdiel,https://scholar.google.com/citations?user=j7lpopIAAAAJ&hl=en&oe=ASCII
555,,Alexei Davydov,https://scholar.google.com/citations?user=wYWlEugAAAAJ&hl=en&oe=ASCII
556,,Jens Fjelstad,https://scholar.google.com/citations?user=2BcX_P0AAAAJ&hl=en&oe=ASCII
557,,Simon Wood,https://scholar.google.com/citations?user=1L-XFbcAAAAJ&hl=en&oe=ASCII
558,,Thomas Quella,https://scholar.google.com/citations?user=qFQPfr0AAAAJ&hl=en&oe=ASCII
559,,Roberto Tateo,https://scholar.google.com/citations?user=8jQC4bsAAAAJ&hl=en&oe=ASCII
560,,Rafał R. Suszek,https://scholar.google.com/citations?user=z7pbkOsAAAAJ&hl=en&oe=ASCII
561,,Thomas Creutzig,https://scholar.google.com/citations?user=W2hW-icAAAAJ&hl=en&oe=ASCII
562,Jason Rute,Jeremy Avigad,https://scholar.google.com/citations?user=VQfvIfQAAAAJ&hl=en&oe=ASCII
563,,Edward T. Dean,https://scholar.google.com/citations?user=DStXm0UAAAAJ&hl=en&oe=ASCII
564,,Kenshi Miyabe,https://scholar.google.com/citations?user=2etOC_IAAAAJ&hl=en&oe=ASCII
565,,Bjørn Kjos-Hanssen,https://scholar.google.com/citations?user=b5dVN0MAAAAJ&hl=en&oe=ASCII
566,Adam Runions,Przemyslaw Prusinkiewicz,https://scholar.google.com/citations?user=pjH7e8IAAAAJ&hl=en&oe=ASCII
567,,Miltos Tsiantis,https://scholar.google.com/citations?user=IKtkOGEAAAAJ&hl=en&oe=ASCII
568,,Richard S. Smith,https://scholar.google.com/citations?user=64_cwAsAAAAJ&hl=en&oe=ASCII
569,,Angela Hay,https://scholar.google.com/citations?user=HUQ-7DsAAAAJ&hl=en&oe=ASCII
570,,Sören Strauss,https://scholar.google.com/citations?user=l8aNk4oAAAAJ&hl=en&oe=ASCII
571,,Faramarz Samavati,https://scholar.google.com/citations?user=DuoyXO0AAAAJ&hl=en&oe=ASCII
572,,Gabriella Mosca,https://scholar.google.com/citations?user=OJwHzTQAAAAJ&hl=en&oe=ASCII
573,,Anne-Lise Routier-Kierzkowska,https://scholar.google.com/citations?user=tEflT3YAAAAJ&hl=en&oe=ASCII
574,,Daniel Kierzkowski,https://scholar.google.com/citations?user=QePbyIcAAAAJ&hl=en&oe=ASCII
575,,Aleksandra Sapala,https://scholar.google.com/citations?user=FRg49pwAAAAJ&hl=en&oe=ASCII
576,,Mainak Das Gupta,https://scholar.google.com/citations?user=NRkMTFAAAAAJ&hl=en&oe=ASCII
577,,Zhongjuan Zhang,https://scholar.google.com/citations?user=i2FM7kcAAAAJ&hl=en&oe=ASCII
578,,Michalis Barkoulas,https://scholar.google.com/citations?user=eielHMQAAAAJ&hl=en&oe=ASCII
579,,Laufs Patrick,https://scholar.google.com/citations?user=EO33FDoAAAAJ&hl=en&oe=ASCII
580,,Radomir Mech,https://scholar.google.com/citations?user=RTbYeUcAAAAJ&hl=en&oe=ASCII
581,,Raffaele Dello Ioio,https://scholar.google.com/citations?user=S8Zp5eoAAAAJ&hl=en&oe=ASCII
582,,Devin Lee O'Connor,https://scholar.google.com/citations?user=rdbRmKQAAAAJ&hl=en&oe=ASCII
583,,Sarah HAKE,https://scholar.google.com/citations?user=LXf4wPoAAAAJ&hl=en&oe=ASCII
584,,Milad Adibi,https://scholar.google.com/citations?user=1Te9-IwAAAAJ&hl=en&oe=ASCII
585,,hugo hofhuis,https://scholar.google.com/citations?user=fA6WJDgAAAAJ&hl=en&oe=ASCII
586,Matthew J. Rutherford,KIMON   P   VALAVANIS,https://scholar.google.com/citations?user=-Lj2aHcAAAAJ&hl=en&oe=ASCII
587,,Alexander L Wolf,https://scholar.google.com/citations?user=21FXjJgAAAAJ&hl=en&oe=ASCII
588,,Konstantinos Kanistras,https://scholar.google.com/citations?user=As71gLIAAAAJ&hl=en&oe=ASCII
589,,Nikolaos Vitzilaios,https://scholar.google.com/citations?user=wvG_5nwAAAAJ&hl=en&oe=ASCII
590,,Goncalo Martins,https://scholar.google.com/citations?user=jKF0Zz4AAAAJ&hl=en&oe=ASCII
591,,PRANITH CHANDER SAKA,https://scholar.google.com/citations?user=lZUZEHAAAAAJ&hl=en&oe=ASCII
592,,Michail G. Michailidis,https://scholar.google.com/citations?user=2XRHhLMAAAAJ&hl=en&oe=ASCII
593,,A. Benini,https://scholar.google.com/citations?user=y1S4rmgAAAAJ&hl=en&oe=ASCII
594,,Mohammed Agha,https://scholar.google.com/citations?user=AWZqgOEAAAAJ&hl=en&oe=ASCII
595,,Jessica Alvarenga,https://scholar.google.com/citations?user=Hg59hsUAAAAJ&hl=en&oe=ASCII
596,,Kenneth M. Anderson,https://scholar.google.com/citations?user=wOO8rEMAAAAJ&hl=en&oe=ASCII
597,,Junya Michanan,https://scholar.google.com/citations?user=yAQDLbMAAAAJ&hl=en&oe=ASCII
598,,Vahid Yousefzadeh,https://scholar.google.com/citations?user=iCQCSIkAAAAJ&hl=en&oe=ASCII
599,,Daniele Sartori,https://scholar.google.com/citations?user=3EipTlwAAAAJ&hl=en&oe=ASCII
600,,Chris GauthierDickey,https://scholar.google.com/citations?user=S_xJNRQAAAAJ&hl=en&oe=ASCII
601,,Nathan S. Evans,https://scholar.google.com/citations?user=HOReSEYAAAAJ&hl=en&oe=ASCII
602,,Hai Lin,https://scholar.google.com/citations?user=-44pSHgAAAAJ&hl=en&oe=ASCII
603,,P J Antsaklis,https://scholar.google.com/citations?user=LtsPBc8AAAAJ&hl=en&oe=ASCII
604,,Jin Dai,https://scholar.google.com/citations?user=rH3ICl8AAAAJ&hl=en&oe=ASCII
605, Jakub Szymanik,Marcin Zajenkowski,https://scholar.google.com/citations?user=onU4uDQAAAAJ&hl=en&oe=ASCII
606,,Shane Steinert-Threlkeld,https://scholar.google.com/citations?user=8NjYcbUAAAAJ&hl=en&oe=ASCII
607,,Nina Gierasimczuk,https://scholar.google.com/citations?user=2Rw6xFcAAAAJ&hl=en&oe=ASCII
608,,Rineke Verbrugge,https://scholar.google.com/citations?user=p6lcxiMAAAAJ&hl=en&oe=ASCII
609,,Fausto Carcassi,https://scholar.google.com/citations?user=SQXgYFMAAAAJ&hl=en&oe=ASCII
610,,Marcin Mostowski,https://scholar.google.com/citations?user=MMoDVzcAAAAJ&hl=en&oe=ASCII
611,,Livio Robaldo,https://scholar.google.com/citations?user=QJokx7YAAAAJ&hl=en&oe=ASCII
612,,Leendert Van Maanen,https://scholar.google.com/citations?user=RzedMN0AAAAJ&hl=en&oe=ASCII
613,,Camilo Thorne,https://scholar.google.com/citations?user=MrWuX5EAAAAJ&hl=en&oe=ASCII
614,,Juha Kontinen,https://scholar.google.com/citations?user=W60YbQEAAAAJ&hl=en&oe=ASCII
615,,Ivan Toni,https://scholar.google.com/citations?user=YNMaEfoAAAAJ&hl=en&oe=ASCII
616,,Johan Kwisthout,https://scholar.google.com/citations?user=9OtT_kQAAAAJ&hl=en&oe=ASCII
617,,Todd Wareham,https://scholar.google.com/citations?user=1cFXu-QAAAAJ&hl=en&oe=ASCII
618,,Sonia Ramotowska,https://scholar.google.com/citations?user=BcHNh9UAAAAJ&hl=en&oe=ASCII
619,,Rafał Styła,https://scholar.google.com/citations?user=pdkDfYYAAAAJ&hl=en&oe=ASCII
620,,Gert-Jan Munneke,https://scholar.google.com/citations?user=G1O2KRQAAAAJ&hl=en&oe=ASCII
621,,Maria Garraffa,https://scholar.google.com/citations?user=LbdabgMAAAAJ&hl=en&oe=ASCII
622,,Stefan M. Wierda,https://scholar.google.com/citations?user=M1HlbLAAAAAJ&hl=en&oe=ASCII
623,,Tadeusz Ciecierski,https://scholar.google.com/citations?user=zrz85Z0AAAAJ&hl=en&oe=ASCII
624,,Ronald de Haan,https://scholar.google.com/citations?user=r_PMdJEAAAAJ&hl=en&oe=ASCII
625,David Sraer,David Thesmar,https://scholar.google.com/citations?user=r1xblOMAAAAJ&hl=en&oe=ASCII
626,,Augustin Landier,https://scholar.google.com/citations?user=cxFJWPcAAAAJ&hl=en&oe=ASCII
627,,Thomas Chaney,https://scholar.google.com/citations?user=BiLEuXYAAAAJ&hl=en&oe=ASCII
628,,Antoinette Schoar,https://scholar.google.com/citations?user=TBLPnvoAAAAJ&hl=en&oe=ASCII
629,,Harrison Hong,https://scholar.google.com/citations?user=ctHVoM8AAAAJ&hl=en&oe=ASCII
630,,Johan Hombert,https://scholar.google.com/citations?user=dl2D4z0AAAAJ&hl=en&oe=ASCII
631,,Thierry FOUCAULT,https://scholar.google.com/citations?user=7bEGjnoAAAAJ&hl=en&oe=ASCII
632,,Martin C Schmalz,https://scholar.google.com/citations?user=Iae7qqcAAAAJ&hl=en&oe=ASCII
633,,Ron Kaniel,https://scholar.google.com/citations?user=TC_noBwAAAAJ&hl=en&oe=ASCII
634,,Jean-Noël Barrot,https://scholar.google.com/citations?user=GzhDnYoAAAAJ&hl=en&oe=ASCII
635,,Zongbo Huang,https://scholar.google.com/citations?user=k8SrvzMAAAAJ&hl=en&oe=ASCII
636,,Valentin Haddad,https://scholar.google.com/citations?user=PlPjP48AAAAJ&hl=en&oe=ASCII
637,,Julien Sauvagnat,https://scholar.google.com/citations?user=7qWDck8AAAAJ&hl=en&oe=ASCII
638,,Jialin Yu,https://scholar.google.com/citations?user=gBlHRhwAAAAJ&hl=en&oe=ASCII
639,Jean Tirole,Drew Fudenberg,https://scholar.google.com/citations?user=XCo4OfoAAAAJ&hl=en&oe=ASCII
640,,Mathias Dewatripont,https://scholar.google.com/citations?user=7S_1xP8AAAAJ&hl=en&oe=ASCII
641,,Paul Joskow,https://scholar.google.com/citations?user=8mQJTxIAAAAJ&hl=en&oe=ASCII
642,,Parag Pathak,https://scholar.google.com/citations?user=VZkUirwAAAAJ&hl=en&oe=ASCII
643,,David Knudsen Levine,https://scholar.google.com/citations?user=fQuB-q0AAAAJ&hl=en&oe=ASCII
644,,Xavier Freixas,https://scholar.google.com/citations?user=5qRHOKAAAAAJ&hl=en&oe=ASCII
645,,E. Glen Weyl,https://scholar.google.com/citations?user=gadgSR4AAAAJ&hl=en&oe=ASCII
646,K. M. Nagaraja,V. Lokesha,https://scholar.google.com/citations?user=3XYkc6oAAAAJ&hl=en&oe=ASCII
647,,Sudhir Kumar Sahu,https://scholar.google.com/citations?user=EzH8eOwAAAAJ&hl=en&oe=ASCII
648,,Siddarth Kumar,https://scholar.google.com/citations?user=o8mcf4kAAAAJ&hl=en&oe=ASCII
649,,Vinod Kumar Senecha,https://scholar.google.com/citations?user=9Y-cpl4AAAAJ&hl=en&oe=ASCII
650,,Rajnish Kumar,https://scholar.google.com/citations?user=aH-a3LcAAAAJ&hl=en&oe=ASCII
651,,MURALI K,https://scholar.google.com/citations?user=ddXzargAAAAJ&hl=en&oe=ASCII
652,V. Lokesha,Ismail Naci Cangul,https://scholar.google.com/citations?user=4t-rdlsAAAAJ&hl=en&oe=ASCII
653,,Dr. Deepika T,https://scholar.google.com/citations?user=wjUPAYUAAAAJ&hl=en&oe=ASCII
654,,"Dr. K. M. Nagaraja, MSc., Ph.D",https://scholar.google.com/citations?user=jkIRWvEAAAAJ&hl=en&oe=ASCII
655,,Ahmet Sinan Cevik,https://scholar.google.com/citations?user=hGJzln8AAAAJ&hl=en&oe=ASCII
656,,S Padmanabhan,https://scholar.google.com/citations?user=YPNzi_EAAAAJ&hl=en&oe=ASCII
657,,Usha A,https://scholar.google.com/citations?user=yccM5z0AAAAJ&hl=en&oe=ASCII
658,,P. S. K. Reddy,https://scholar.google.com/citations?user=_j-jVCQAAAAJ&hl=en&oe=ASCII
659,,RAJAN M A,https://scholar.google.com/citations?user=liO4F2QAAAAJ&hl=en&oe=ASCII
660,,Bindusree A R,https://scholar.google.com/citations?user=qkcgXMwAAAAJ&hl=en&oe=ASCII
661,,Abdelmejid Bayad,https://scholar.google.com/citations?user=nEQVCKkAAAAJ&hl=en&oe=ASCII
662,,PROF. DR. YILMAZ SIMSEK,https://scholar.google.com/citations?user=mKKkCFUAAAAJ&hl=en&oe=ASCII
663,,Sunilkumar Hosamani(SM Hosamani),https://scholar.google.com/citations?user=QkIdke0AAAAJ&hl=en&oe=ASCII
664,,H. M. Srivastava,https://scholar.google.com/citations?user=cdRbfo8AAAAJ&hl=en&oe=ASCII
665,,R S Hegadi,https://scholar.google.com/citations?user=m0k3XzYAAAAJ&hl=en&oe=ASCII
666,,Dr. Manjunath T N  Professor,https://scholar.google.com/citations?user=1Ho8jYcAAAAJ&hl=en&oe=ASCII
667,,Prof. Madhu B K ,https://scholar.google.com/citations?user=3Vgp3eIAAAAJ&hl=en&oe=ASCII
668,,mansour saraj,https://scholar.google.com/citations?user=Mkcqa6gAAAAJ&hl=en&oe=ASCII
669,,Kinkar Chandra Das,https://scholar.google.com/citations?user=zwP5LXUAAAAJ&hl=en&oe=ASCII
670,,P. S. Hemavathi,https://scholar.google.com/citations?user=Sx-QpiQAAAAJ&hl=en&oe=ASCII
671,,Mustafa Alkan,https://scholar.google.com/citations?user=TaGXJ7MAAAAJ&hl=en&oe=ASCII
672,Vijay Sridhar,Anastasios Sidiropoulos,https://scholar.google.com/citations?user=YR_MYrAAAAAJ&hl=en&oe=ASCII
673,,Kritika Singhal,https://scholar.google.com/citations?user=kile38cAAAAJ&hl=en&oe=ASCII
674,Anastasios Sidiropoulos,Piotr Indyk,https://scholar.google.com/citations?user=oOwNKsAAAAAJ&hl=en&oe=ASCII
675,,Jon Feldman,https://scholar.google.com/citations?user=tkDsIggAAAAJ&hl=en&oe=ASCII
676,,James R. Lee,https://scholar.google.com/citations?user=x7viPbgAAAAJ&hl=en&oe=ASCII
677,,Clifford Stein,https://scholar.google.com/citations?user=r49_E2cAAAAJ&hl=en&oe=ASCII
678,,Yusu Wang,https://scholar.google.com/citations?user=L7jhqMIAAAAJ&hl=en&oe=ASCII
679,,Giorgos Christodoulou,https://scholar.google.com/citations?user=QRIaADsAAAAJ&hl=en&oe=ASCII
680,,Tamal K. Dey,https://scholar.google.com/citations?user=k7VhUnAAAAAJ&hl=en&oe=ASCII
681,,MohammadTaghi Hajiaghayi,https://scholar.google.com/citations?user=SQ1eGN4AAAAJ&hl=en&oe=ASCII
682,,Amir Nayyeri,https://scholar.google.com/citations?user=i4dDFK8AAAAJ&hl=en&oe=ASCII
683,,Ken-ichi Kawarabayashi,https://scholar.google.com/citations?user=DWERCmsAAAAJ&hl=en&oe=ASCII
684,,R Ravi,https://scholar.google.com/citations?user=_vjPh4UAAAAJ&hl=en&oe=ASCII
685,,Kedar Dhamdhere,https://scholar.google.com/citations?user=ZP6gGZYAAAAJ&hl=en&oe=ASCII
686,Piotr Indyk,Alexandr Andoni,https://scholar.google.com/citations?user=Evgx6UkAAAAJ&hl=en&oe=ASCII
687,,Ludwig Schmidt,https://scholar.google.com/citations?user=SWMKy70AAAAJ&hl=en&oe=ASCII
688,,Dina Katabi,https://scholar.google.com/citations?user=nst5fHgAAAAJ&hl=en&oe=ASCII
689,,Eric Price,https://scholar.google.com/citations?user=UE6z_m8AAAAJ&hl=en&oe=ASCII
690,,Aristides Gionis,https://scholar.google.com/citations?user=11JgipcAAAAJ&hl=en&oe=ASCII
691,,David Woodruff,https://scholar.google.com/citations?user=kMmxbbIAAAAJ&hl=en&oe=ASCII
692,,Mayur Datar,https://scholar.google.com/citations?user=q1cl1P4AAAAJ&hl=en&oe=ASCII
693,,S Muthukrishnan,https://scholar.google.com/citations?user=MvyO9jAAAAAJ&hl=en&oe=ASCII
694,,Tal Wagner,https://scholar.google.com/citations?user=gV4dPToAAAAJ&hl=en&oe=ASCII
695,,Haitham Hassanieh,https://scholar.google.com/citations?user=s5-hnX8AAAAJ&hl=en&oe=ASCII
696,,Arturs Backurs,https://scholar.google.com/citations?user=UNHdIKoAAAAJ&hl=en&oe=ASCII
697,,Chinmay Hegde,https://scholar.google.com/citations?user=eJAV17IAAAAJ&hl=en&oe=ASCII
698,,Sudipto Guha,https://scholar.google.com/citations?user=zHCTHbYAAAAJ&hl=en&oe=ASCII
699,,Ilya Razenshteyn,https://scholar.google.com/citations?user=CMZAKkEAAAAJ&hl=en&oe=ASCII
700,,Mihai Badoiu,https://scholar.google.com/citations?user=fE4XXdIAAAAJ&hl=en&oe=ASCII
701,,Vahab Mirrokni,https://scholar.google.com/citations?user=opbZfw0AAAAJ&hl=en&oe=ASCII
702,,Sepideh Mahabadi,https://scholar.google.com/citations?user=NirVdpMAAAAJ&hl=en&oe=ASCII
703,,Ali Vakilian,https://scholar.google.com/citations?user=uXZaVaAAAAAJ&hl=en&oe=ASCII
704,Yusu Wang,Tamal K. Dey,https://scholar.google.com/citations?user=k7VhUnAAAAAJ&hl=en&oe=ASCII
705,,Pankaj K. Agarwal,https://scholar.google.com/citations?user=xe0eVksAAAAJ&hl=en&oe=ASCII
706,,Mikhail (Misha)  Belkin,https://scholar.google.com/citations?user=Iwd9DdkAAAAJ&hl=en&oe=ASCII
707,,jian sun,https://scholar.google.com/citations?user=-W5PrZsAAAAJ&hl=en&oe=ASCII
708,,Chao Chen,https://scholar.google.com/citations?user=J-iIIFAAAAAJ&hl=en&oe=ASCII
709,,Xiaoyin Ge,https://scholar.google.com/citations?user=daTe_swAAAAJ&hl=en&oe=ASCII
710,,Fengtao Fan,https://scholar.google.com/citations?user=gz896PoAAAAJ&hl=en&oe=ASCII
711,,Chuanjiang Luo,https://scholar.google.com/citations?user=MeCQ-TYAAAAJ&hl=en&oe=ASCII
712,,Partha P Mitra,https://scholar.google.com/citations?user=siYbnagAAAAJ&hl=en&oe=ASCII
713,,Pawas Ranjan,https://scholar.google.com/citations?user=PNnXigoAAAAJ&hl=en&oe=ASCII
714,,Facundo Mémoli,https://scholar.google.com/citations?user=E3APGcgAAAAJ&hl=en&oe=ASCII
715,,Justin Eldridge,https://scholar.google.com/citations?user=HLLHHzcAAAAJ&hl=en&oe=ASCII
716,,Vijay Natarajan,https://scholar.google.com/citations?user=yePyztMAAAAJ&hl=en&oe=ASCII
717,,Oleksiy Busaryev,https://scholar.google.com/citations?user=E0fZV18AAAAJ&hl=en&oe=ASCII
718,,Anastasios Sidiropoulos,https://scholar.google.com/citations?user=YR_MYrAAAAAJ&hl=en&oe=ASCII
719,,Hakan Ferhatosmanoglu,https://scholar.google.com/citations?user=QtHxli4AAAAJ&hl=en&oe=ASCII
720,,Carola Wenk,https://scholar.google.com/citations?user=JLWWzugAAAAJ&hl=en&oe=ASCII
721,,Ulrich Bauer,https://scholar.google.com/citations?user=cMGWaM8AAAAJ&hl=en&oe=ASCII
722,Pankaj Kumar Agarwal,Micha Sharir,https://scholar.google.com/citations?user=jnEtxm4AAAAJ&hl=en&oe=ASCII
723,,Sariel Har-Peled,https://scholar.google.com/citations?user=2s9_ZWgAAAAJ&hl=en&oe=ASCII
724,,Boris Aronov,https://scholar.google.com/citations?user=q82gOawAAAAJ&hl=en&oe=ASCII
725,,Lars Arge,https://scholar.google.com/citations?user=MgdxxbAAAAAJ&hl=en&oe=ASCII
726,,Subhash Suri,https://scholar.google.com/citations?user=VgrH9A8AAAAJ&hl=en&oe=ASCII
727,,Kasturi Varadarajan,https://scholar.google.com/citations?user=UNxLPX8AAAAJ&hl=en&oe=ASCII
728,,Leonidas Guibas,https://scholar.google.com/citations?user=5JlEyTAAAAAJ&hl=en&oe=ASCII
729,,Jeffrey S. Vitter,https://scholar.google.com/citations?user=IeXW2bkAAAAJ&hl=en&oe=ASCII
730,,Ke Yi,https://scholar.google.com/citations?user=dWcZPFEAAAAJ&hl=en&oe=ASCII
731,,Joseph O'Rourke,https://scholar.google.com/citations?user=AdrTURsAAAAJ&hl=en&oe=ASCII
732,,Janos Pach,https://scholar.google.com/citations?user=uOC_Z8QAAAAJ&hl=en&oe=ASCII
733,,Marc van Kreveld,https://scholar.google.com/citations?user=Q_d-0KAAAAAJ&hl=en&oe=ASCII
734,,Thomas Mølhave,https://scholar.google.com/citations?user=z0LIdJwAAAAJ&hl=en&oe=ASCII
735,,Jeff Erickson,https://scholar.google.com/citations?user=02_kT4YAAAAJ&hl=en&oe=ASCII
736,,Herbert Edelsbrunner,https://scholar.google.com/citations?user=I_dlxWcAAAAJ&hl=en&oe=ASCII
737,,James S Clark,https://scholar.google.com/citations?user=t6XVnH8AAAAJ&hl=en&oe=ASCII
738,,Jeff Phillips,https://scholar.google.com/citations?user=aFDuhV8AAAAJ&hl=en&oe=ASCII
739,,Amitabh Varshney,https://scholar.google.com/citations?user=b053OdAAAAAJ&hl=en&oe=ASCII
740,,Dinesh Manocha,https://scholar.google.com/citations?user=X08l_4IAAAAJ&hl=en&oe=ASCII
741,,David Eppstein,https://scholar.google.com/citations?user=QSY7ufMAAAAJ&hl=en&oe=ASCII
742,Nathan Srebro,Shai Shalev-Shwartz,https://scholar.google.com/citations?user=uYVc9koAAAAJ&hl=en&oe=ASCII
