,Name,University,Year of Graduation,Advisor,Link
12,Djurdje  Cvijovic ,University of Cambridge,1994,[['Jacek  Klinowski ']],https://scholar.google.com//citations?hl=en&user=T1kouJ4AAAAJ
13,Jasper  de Jong ,Universiteit Twente,2016,"[['Marc  Uetz ', 'Technische Universität Berlin', '2001']]",https://scholar.google.com//citations?hl=en&user=FetAEaYAAAAJ
14,Jozeph  de Jong ,Universiteit Leiden,1871,"[['David  Bierens de Haan ', 'Universiteit Leiden', '1847']]",https://scholar.google.com//citations?hl=en&user=R5bGYgQAAAAJ
15,Maartje  de Jonge ,Technische Universiteit Delft,2014,"[['Arie  van Deursen ', 'Universiteit van Amsterdam', '1994'], ['Eelco  Visser ', 'Universiteit van Amsterdam', '1997']]",https://scholar.google.com//citations?hl=en&user=WN8ZgDwAAAAJ
16,P J  de Jongh ,University of Cape Town,1985,"[['Casparus Gerhardus Troskie ', 'University of South Africa', '1963'], ['Tertius  de Wet ', 'Potchefstroomse Universiteit vir Christelike Hoër Onderwys', '1972']]",https://scholar.google.com//citations?hl=en&user=JejrUoEAAAAJ
17,Javier  de Lucas Araujo ,Universidad de Zaragoza,2009,"[['José Fernando Cariñena ', 'Universidad de Valladolid', '1972']]",https://scholar.google.com//citations?hl=en&user=XNuXyrYAAAAJ
18,Jelena  Djokic ,Universität Leipzig,2006,"[['Wolfgang  Hackbusch ', 'Universität zu Köln', '1973']]",https://scholar.google.com//citations?hl=en&user=B3pOqo8AAAAJ
19,Josip  Djolonga ,ETH Zürich,2018,"[['Andreas  Krause ', 'Carnegie Mellon University', '2008']]",https://scholar.google.com//citations?hl=en&user=4NdMn_MAAAAJ
20,Djordje  Djordjevic ,University of Niš,1997,"[['Gradimir V Milovanovic ', 'University of Niš', '1976']]",https://scholar.google.com//citations?hl=en&user=xXcfZnUAAAAJ
21,Marija  Gajdardziska-Josifovska ,Arizona State University,1991,"[['John Maxwell Cowley ', 'Massachusetts Institute of Technology', '1949']]",https://scholar.google.com//citations?hl=en&user=-t-iqwUAAAAJ
22,Jordi  Herrera Joancomartí ,Universitat Politècnica de Catalunya,2000,"[['Josep  Domingo-Ferrer ', 'Universitat Autònoma de Barcelona', '1991']]",https://scholar.google.com//citations?hl=en&user=l3_SR-gAAAAJ
23,Soojin  Jo ,"University of California, San Diego",2012,"[['James Douglas Hamilton ', 'University of California, Berkeley', '1983']]",https://scholar.google.com//citations?hl=en&user=WSSgpfAAAAAJ
24,Benjamin  Joachimi ,rer. nat. Rheinische Friedrich-Wilhelms-Universität Bonn,2010,"[['Peter  Schneider ', 'rer. nat. Rheinische Friedrich-Wilhelms-Universität Bonn', '1984']]",https://scholar.google.com//citations?hl=en&user=KmG3dlcAAAAJ
25,Jose  Joao ,University of Texas at Austin,2014,"[['Yale Nance Patt ', 'Stanford University', '1966']]",https://scholar.google.com//citations?hl=en&user=rWC7M90AAAAJ
26,Joshua  Job ,University of Southern California,2018,"[['Daniel A Lidar ', 'Hebrew University of Jerusalem', '1997']]",https://scholar.google.com//citations?hl=en&user=cH8tzJAAAAAJ
27,John M Jobe ,Oklahoma State University,1966,"[['Olan Harvey Hamilton ', 'University of Texas at Austin', '1937']]",https://scholar.google.com//citations?hl=en&user=huUBlCoAAAAJ
28,John David Jobson ,Iowa State University,1972,"[['Wayne Arthur Fuller ', 'Iowa State University', '1959']]",https://scholar.google.com//citations?hl=en&user=twIs4-sAAAAJ
29,Alejandro  Jofré ,[],[],[],https://scholar.google.com//citations?hl=en&user=tDzKF-AAAAAJ
30,Alejandro  Jofré ,Universidad de Chile,1989,"[['Jean-Paul  Penot ', 'Université de Paris', '1970']]",https://scholar.google.com//citations?hl=en&user=tDzKF-AAAAAJ
31,Matjaž  Jogan ,University of Ljubljana,2008,"[['Ales  Leonardis ', 'University of Ljubljana', '1993']]",https://scholar.google.com//citations?hl=en&user=P_LVCLoAAAAJ
32,James Michael Johannes ,University of Wisconsin-Madison,1978,"[['Edgar L Feige ', 'The University of Chicago', '1963']]",https://scholar.google.com//citations?hl=en&user=5raO77cAAAAJ
33,Jan  Johannes ,Humboldt-Universität zu Berlin,2002,"[['Olaf  Bunke ', 'Humboldt-Universität zu Berlin', '1960']]",https://scholar.google.com//citations?hl=en&user=AjmDxgoAAAAJ
34,Jeff  Johannes ,Indiana University,1998,"[['Charles  Livingston ', 'University of California, Berkeley', '1980']]",https://scholar.google.com//citations?hl=en&user=Tuy2cFIAAAAJ
35,Joseph  Johannes ,phil. Eberhard-Karls-Universität Tübingen,1888,[],https://scholar.google.com//citations?hl=en&user=avXaLdIAAAAJ
36,Kjetil Andre  Johannessen ,Norges Teknisk-Naturvitenskapelige Universitet,2014,[['Trond  Kvamsdal ']],https://scholar.google.com//citations?hl=en&user=D6YYWDAAAAAJ
37,Jacob  Johannsen ,Aarhus University,2015,"[['Olivier  Danvy ', 'Université Pierre-et-Marie-Curie - Paris VI', '1986']]",https://scholar.google.com//citations?hl=en&user=_mCuP8wAAAAJ
38,Jan  Johannsen ,Friedrich-Alexander-Universität Erlangen-Nürnberg,1996,"[['Volker  Strehl ', 'Friedrich-Alexander-Universität Erlangen-Nürnberg', '1974']]",https://scholar.google.com//citations?hl=en&user=cSbR4a0AAAAJ
39,Ørjan  Johansen ,Scient. Norges Teknisk-Naturvitenskapelige Universitet,1998,"[['Christian F Skau ', 'University of Pennsylvania', '1973']]",https://scholar.google.com//citations?hl=en&user=0AX7mo8AAAAJ
40,Marje  Johanson ,University of Tartu,2012,"[['Eve  Oja ', 'Sci. University of Tartu', '1975'], ['Rainis  Haller ', 'University of Tartu', '2002']]",https://scholar.google.com//citations?hl=en&user=5wwNgYkAAAAJ
41,Björn  Johansson ,Lund University,2003,"[['Karl Kalle  Åström ', 'Lund University', '1996'], ['Gunnar  Sparr ', 'Lund University', '1972']]",https://scholar.google.com//citations?hl=en&user=24ubx_wAAAAJ
42,John W John ,University of Wisconsin-Madison,1985,"[['Samuel Watkins Bent ', 'Stanford University', '1982']]",https://scholar.google.com//citations?hl=en&user=XszwZ1YAAAAJ
43,Shaju  John ,University of Maryland College Park,2007,"[['Christopher Peter Cadou ', 'University of California, Los Angeles', '1996']]",https://scholar.google.com//citations?hl=en&user=YpGaU6oAAAAJ
44,Joseph  Johns ,The University of Chicago,2006,"[['Paul  Seidel ', 'University of Oxford', '1997']]",https://scholar.google.com//citations?hl=en&user=Qxtj86kAAAAJ
45,John  Johnsen ,Columbia University,1970,"[['Patrick Ximenes Gallagher ', 'Princeton University', '1959']]",https://scholar.google.com//citations?hl=en&user=NKLGLsoAAAAJ
46,Jon  Johnsen ,Københavns Universitet,1993,"[['Gerd A Grubb ', 'Stanford University', '1966']]",https://scholar.google.com//citations?hl=en&user=NKLGLsoAAAAJ
47,Benjamin Edward Johnson ,"University of California, Berkeley",2008,"[['Leo Anthony Harrington ', 'Massachusetts Institute of Technology', '1973']]",https://scholar.google.com//citations?hl=en&user=GVYvyYIAAAAJ
48,Benjamin  Johnson ,Cornell University,2014,"[['Hadas  Kress-Gazit ', 'University of Pennsylvania', '2008']]",https://scholar.google.com//citations?hl=en&user=GVYvyYIAAAAJ
49,Benjamin  Johnson ,University of Massachusetts Amherst,2017,"[['Eric Nathan Sommers ', 'Massachusetts Institute of Technology', '1997']]",https://scholar.google.com//citations?hl=en&user=GVYvyYIAAAAJ
50,James A Johnson ,University of Minnesota - Twin Cities,1963,"[['Oswald Harvey Brownlee ', 'Iowa State University', '1945']]",https://scholar.google.com//citations?hl=en&user=QGAACkcAAAAJ
51,James D Johnson ,State University of New York at Stony Brook,1972,"[['Barry Malcolm McCoy ', 'Harvard University', '1967']]",https://scholar.google.com//citations?hl=en&user=VmEJFc4AAAAJ
52,James Ralph Johnson ,University of Minnesota - Twin Cities,1985,"[['Richard P McGehee ', 'University of Wisconsin-Madison', '1969']]",https://scholar.google.com//citations?hl=en&user=s8FYT_IAAAAJ
