,Name,University,Year of Graduation,Advisor
0,Abejide  Ade-Ibijola ,University of the Witwatersrand,2016,"[['Sigrid  Ewert ', 'Universiteit Stellenbosch', '1999'], ['Ian  Sanders ', 'University of Pretoria', '2002']]"
1,Jesús  Araujo ,[],,
2,Juan  Asenjo ,[],,
3,Jean-Francois  Aujol ,Université de Nice-Sophia Antipolis,2004,"[['Gilles  Aubert ', 'Université Pierre-et-Marie-Curie - Paris VI', '1986'], ['Laure  Blanc-Féraud ']]"
4,Johan Pires Björgen ,[],,
5,John Markus  Bjørndalen ,Scient. (Ph.D.) Universitetet i Tromsø – Norges arktiske universitet,2003,[['Otto J Anshus ']]
6,Dejan  Bojović ,University of Kragujevac,2000,"[['Boško S Jovanović ', 'University of Belgrade', '1976']]"
7,Nebojša  Bojović ,[],,
8,Jorge  Castillejos ,University of Glasgow,2016,"[['Stuart Andrew White ', 'The University of Edinburgh', '2006']]"
9,Jean-François  Coeurjolly ,Université Joseph Fourier Grenoble I,2000,"[['Anestis  Antoniadis ', 'Université Scientifique et Médiacale de Grenoble (University of Grenoble)', '1983']]"
10,Juan Manuel Cornejo ,Universidad Nacional del Sur,2011,"[['Manuel  Abad ', 'Universidad Nacional del Sur', '1987']]"
11,Josue  Corujo ,Université Paris IX - Dauphine,2021,"[['Djalil  Chafai ', 'Université Paul Sabatier - Toulouse III', '2002'], ['Simona  Grusea ', 'Université de Provence - Aix-Marseille I', '2008']]"
12,Djurdje  Cvijovic ,University of Cambridge,1994,[['Jacek  Klinowski ']]
13,Jasper  de Jong ,Universiteit Twente,2016,"[['Marc  Uetz ', 'Technische Universität Berlin', '2001']]"
14,Jozeph  de Jong ,Universiteit Leiden,1871,"[['David  Bierens de Haan ', 'Universiteit Leiden', '1847']]"
15,Maartje  de Jonge ,Technische Universiteit Delft,2014,"[['Arie  van Deursen ', 'Universiteit van Amsterdam', '1994'], ['Eelco  Visser ', 'Universiteit van Amsterdam', '1997']]"
16,P J  de Jongh ,University of Cape Town,1985,"[['Casparus Gerhardus Troskie ', 'University of South Africa', '1963'], ['Tertius  de Wet ', 'Potchefstroomse Universiteit vir Christelike Hoër Onderwys', '1972']]"
17,Javier  de Lucas Araujo ,Universidad de Zaragoza,2009,"[['José Fernando Cariñena ', 'Universidad de Valladolid', '1972']]"
18,Jelena  Djokic ,Universität Leipzig,2006,"[['Wolfgang  Hackbusch ', 'Universität zu Köln', '1973']]"
19,Josip  Djolonga ,ETH Zürich,2018,"[['Andreas  Krause ', 'Carnegie Mellon University', '2008']]"
20,Djordje  Djordjevic ,University of Niš,1997,"[['Gradimir V Milovanovic ', 'University of Niš', '1976']]"
21,Marija  Gajdardziska-Josifovska ,Arizona State University,1991,"[['John Maxwell Cowley ', 'Massachusetts Institute of Technology', '1949']]"
